estimation, actual
3685,4293
3631,3637
3602,3611
3575,4064
3568,3730
3561,3791
3446,4022
3441,4061
3438,4344
3492,4184
3496,4089
3432,4541
3431,3694
3430,3981
3439,4587
3437,3643
3541,3911
3539,3563
3537,3608
3355,3784
3351,4500
3358,4523
3435,5024
3430,5301
3449,5854
3658,4099
3485,3239
3415,3529
3414,3624
3256,3049
3258,3693
3039,3779
3139,3840
3138,3805
3138,3962
3146,4170
3144,3715
3283,4531
3430,4149
3729,3883
3727,4300
3724,4287
3727,3836
3641,4380
3576,4365
3577,3788
3496,3854
3494,4342
3494,4060
3798,4506
3797,3878
3729,4304
3733,4568
3730,4710
3632,4756
3635,4161
3647,3842
3701,4763
3699,3733
3524,3818
3591,3985
3591,3733
3589,3996
3589,3953
3590,4187
3636,4411
3675,5036
3680,4899
3682,3655
3625,3232
3528,4079
3527,3316
3527,3063
3526,3439
3402,3492
3140,3330
3139,3089
3185,3343
3183,3609
3154,3554
3155,3346
3029,3839
2955,3151
2955,3565
2957,3309
2989,3143
3017,2930
3020,3836
3010,3173
2736,3154
2726,2929
2725,2911
2722,3087
2740,2988
2738,2951
2735,3430
2816,2913
2815,2938
2831,3019
2821,3118